Manual,Gender,Speaker,Citation,Text,Partial
CFM_BM_2019_T.xml,men,Boyd K. Packer,"""Washed Clean,"" Ensign, May 1997, 9–10","""It was crowded, and so we joined a long line waiting to be seated. I was first, just behind some well-dressed women. Even without turning around, the stately woman in front of me soon became aware that we were there. ¶ She turned and looked at us. Then she turned and looked me over from head to toe. There I stood in that sweaty, dirty, sooty, wrinkled uniform. She said in a tone of disgust, «My, what untidy men!» All eyes turned to us. ¶ No doubt she wished we were not there; I shared her wish. I felt as dirty as I was, uncomfortable, and ashamed."" ""Can you imagine how I felt when finally I could see that if I followed whatever conditions the Redeemer had set, I need never endure the agony of being spiritually unclean? Imagine the consoling, liberating, exalting feeling that will come to you when you see the reality of the Atonement and the practical everyday value of it to you individually""",True
CFM_BM_2019_T.xml,men,Brigham Young,"""Discourse,"" Deseret News, Sept. 7, 1854, 1","""When the will, passions, and feelings of a person are perfectly submissive to God and his requirements, that person is sanctified""",False
CFM_BM_2019_T.xml,men,Brigham Young,"Teachings of Presidents of the Church: Brigham Young [1997], 252–53",""" Faith. When you believe the principles of the Gospel and attain unto faith, which is a gift of God, he adds more faith, adding faith to faith. ... ¶  The Gift of Healing. I am here to testify to hundreds of instances of men, women, and children being healed by the power of God, through the laying on of hands, and many I have seen raised from the gates of death, and brought back from the verge of eternity; and some whose spirits had actually left their bodies, returned again. I testify that I have seen the sick healed by the laying on of hands, according to the promise of the Savior. ... ¶ Prophecy, Revelation, and Knowledge. Every man and woman may be a revelator, and have the testimony of Jesus, which is the spirit of prophecy, and foresee the mind and will of God concerning them, eschew evil, and choose that which is good""",False
CFM_BM_2019_T.xml,men,Brigham Young,"""Remarks,"" Deseret News, Oct. 14, 1863, 97","""I want to see that temple built,"" ""in a manner that it will endure through the millennium""",True
CFM_BM_2019_T.xml,men,Bruce R. McConkie,"A New Witness for the Articles of Faith [1985], 371","""Spiritual gifts are endless in number and infinite in variety. Those listed in the revealed word are simply illustrations of the boundless outpouring of divine grace that a gracious God gives those who love and serve him""",False
CFM_BM_2019_T.xml,men,Charles A. Callis,"Conference Report, Apr. 1943, 62","""We are told that when the Jaredites in their barges set forth for this land of promise, fierce and terrible tempests prevailed. The winds blew and they were in imminent danger all the while on that perilous journey. God sustained them. And we read that although these gales and tempests raged, holding destruction in their wake, that the wind was continually blowing toward the Promised Land. And these adversities through which we are passing, these terrible wars and all the horrible things that are prevailing, are in the power of God. He can stop them when He chooses, when His divine purposes are fulfilled. But let us not forget that through this sea of trouble, our adversities, the experiences through which we pass and which God will make work together for our good, if we will obey Him — all these are blowing us forward to the haven of rest, to a glorious future, to eternal life""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""The Doctrine of Christ,"" Ensign, May 2012, 89","""I appeal to all. . . to seek through prayer and study of the scriptures [a] witness of the divine character, the Atonement, and the Resurrection of Jesus Christ. Accept His doctrine by repenting, being baptized, receiving the gift of the Holy Ghost, and then throughout your life following the laws and covenants of the gospel of Jesus Christ""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""Born Again,"" Ensign, May 2008, 78","""You may ask, Why doesn't this mighty change happen more quickly with me? You should remember that the remarkable examples of King Benjamin's people, Alma, and some others in scripture are just that — remarkable and not typical. For most of us, the changes are more gradual and occur over time. Being born again, unlike our physical birth, is more a process than an event. And engaging in that process is the central purpose of mortality. ¶ At the same time, let us not justify ourselves in a casual effort. Let us not be content to retain some disposition to do evil. Let us worthily partake of the sacrament each week and continue to draw upon the Holy Spirit to root out the last vestiges of impurity within us. I testify that as you continue in the path of spiritual rebirth, the atoning grace of Jesus Christ will take away your sins and the stain of those sins in you, temptations will lose their appeal, and through Christ you will become holy, as He and our Father are holy""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""Born Again,"" Ensign, May 2008, 78","""Being born again, unlike our physical birth, is more a process than an event. And engaging in that process is the central purpose of mortality""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""Justification and Sanctification,"" Ensign, June 2001, 22","""To be sanctified through the blood of Christ is to become clean, pure, and holy. If justification removes the punishment for past sin, then sanctification removes the stain or effects of sin""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""When Thou Art Converted,"" Ensign, May 2004, 12","""You can offer the Lord the gift of your broken, or repentant, heart and your contrite, or obedient, spirit. In reality, it is the gift of yourself — what you are and what you are becoming.  ¶ Is there something in you or in your life that is impure or unworthy? When you get rid of it, that is a gift to the Savior. Is there a good habit or quality that is lacking in your life? When you adopt it and make it part of your character, you are giving a gift to the Lord""",False
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""Come to Zion,"" Ensign, Nov. 2008, 38","""Zion is Zion because of the character, attributes, and faithfulness of her citizens [see Moses 7:18]. ... If we would establish Zion in our homes, branches, wards, and stakes, we must rise to this standard. It will be necessary (1) to become unified in one heart and one mind; (2) to become, individually and collectively, a holy people; and (3) to care for the poor and needy with such effectiveness that we eliminate poverty among us. We cannot wait until Zion comes for these things to happen — Zion will come only as they happen""",False
